"index","age","job","housing_loan","personal_loan","credit_default","balance"
4802,37,"admin.","yes","no","no",-898
4803,38,"admin.","yes","no","no",1073
4804,34,"management","yes","no","no",5754
4805,34,"blue-collar","yes","no","no",-167
4806,39,"blue-collar","yes","yes","no",4146
4807,35,"entrepreneur","yes","no","no",-15
4808,36,"admin.","yes","no","no",3954
4809,31,"management","yes","no","no",8629
4810,30,"technician","yes","yes","no",1168
4811,35,"admin.","yes","no","no",498
4812,35,"technician","no","no","no",0
4813,31,"blue-collar","yes","no","no",216
4814,38,"management","yes","no","no",1746
4815,36,"technician","yes","no","no",1053
4816,36,"student","yes","no","no",687
4817,33,"blue-collar","yes","no","no",2764
4818,34,"blue-collar","yes","no","no",1207
4819,32,"management","yes","no","no",0
4820,39,"blue-collar","yes","no","no",528
4821,33,"management","yes","no","no",3090
4822,38,"technician","yes","no","yes",-530
4823,41,"management","yes","no","no",666
4824,38,"technician","yes","no","no",0
4825,35,"blue-collar","yes","no","no",470
4826,39,"technician","yes","no","no",597
4827,40,"blue-collar","yes","no","no",1136
4828,38,"blue-collar","yes","yes","no",620
4829,33,"blue-collar","yes","no","no",17
4830,34,"services","no","no","no",12
4831,28,"entrepreneur","yes","no","no",135
4832,36,"services","no","no","no",5024
4833,34,"technician","yes","no","no",1161
4834,39,"technician","yes","no","no",3528
4835,32,"technician","yes","no","no",791
4836,38,"management","yes","no","no",546
4837,39,"blue-collar","yes","no","no",804
4838,30,"technician","yes","no","no",908
4839,31,"blue-collar","yes","no","no",6982
4840,37,"technician","no","yes","no",1176
4841,36,"admin.","no","no","no",0
4842,34,"blue-collar","yes","no","no",528
4843,37,"admin.","yes","no","no",734
4844,31,"technician","yes","no","no",109
4845,48,"self-employed","yes","no","no",4746
4846,31,"services","yes","no","no",11512
4847,34,"services","yes","no","no",0
4848,36,"services","no","no","no",115
4849,36,"management","no","no","no",808
4850,35,"management","yes","no","no",-289
4851,35,"self-employed","yes","no","no",35368
4852,33,"services","no","no","no",189
4853,26,"blue-collar","yes","no","no",0
4854,37,"entrepreneur","yes","no","no",1110
4855,32,"technician","yes","no","no",102
4856,33,"management","yes","no","no",56
4857,34,"blue-collar","yes","no","no",405
4858,36,"management","yes","no","no",873
4859,36,"technician","no","no","no",656
4860,41,"technician","yes","no","no",2490
4861,33,"admin.","yes","no","no",1437
4862,35,"management","yes","no","no",6659
4863,30,"technician","yes","no","no",1126
4864,34,"blue-collar","yes","no","no",3773
4865,34,"self-employed","yes","no","no",1129
4866,36,"management","yes","yes","no",849
4867,30,"services","yes","no","no",675
4868,36,"admin.","yes","no","no",98
4869,31,"blue-collar","yes","no","no",1914
4870,34,"services","yes","no","no",1270
4871,30,"entrepreneur","yes","no","no",-98
4872,33,"blue-collar","yes","no","no",256
4873,31,"blue-collar","yes","no","no",435
4874,37,"unemployed","yes","no","no",7005
4875,38,"services","yes","no","no",471
4876,33,"blue-collar","yes","no","no",467
4877,32,"blue-collar","yes","no","no",323
4878,34,"management","yes","no","no",0
4879,31,"management","yes","yes","no",1343
4880,51,"blue-collar","no","no","no",44
4881,30,"blue-collar","yes","no","no",453
4882,35,"entrepreneur","yes","no","no",350
4883,32,"technician","yes","no","no",2693
4884,31,"blue-collar","yes","no","no",1243
4885,34,"technician","yes","no","no",883
4886,33,"blue-collar","yes","no","no",599
4887,31,"blue-collar","yes","no","no",3176
4888,33,"technician","no","no","no",49
4889,36,"blue-collar","yes","no","no",3202
4890,33,"technician","yes","no","no",2660
4891,59,"retired","yes","yes","no",41
4892,35,"blue-collar","yes","yes","no",-557
4893,33,"management","no","no","no",741
4894,32,"technician","yes","no","no",930
4895,23,"blue-collar","yes","no","no",9
4896,33,"blue-collar","yes","yes","no",1624
4897,30,"blue-collar","yes","no","yes",239
4898,31,"admin.","yes","no","no",626
4899,25,"services","yes","no","no",-268
4900,37,"technician","yes","no","no",178
4901,34,"admin.","no","no","no",1671
4902,29,"blue-collar","no","no","no",-300
4903,35,"technician","yes","no","no",1362
4904,31,"technician","yes","no","no",2287
4905,33,"blue-collar","yes","no","no",141
4906,31,"technician","yes","no","no",4315
4907,28,"services","yes","yes","no",-70
4908,33,"technician","yes","no","no",1630
4909,35,"technician","yes","no","no",569
4910,34,"management","yes","no","no",0
4911,30,"blue-collar","yes","no","no",546
4912,32,"technician","yes","no","no",287
4913,37,"services","yes","no","yes",-954
4914,35,"entrepreneur","yes","no","no",280
4915,57,"retired","no","no","no",1408
4916,37,"technician","yes","no","no",1211
4917,27,"blue-collar","yes","no","no",1600
4918,39,"blue-collar","yes","no","no",774
4919,33,"management","yes","no","no",188
4920,34,"services","yes","no","no",1157
4921,40,"blue-collar","yes","no","no",1066
4922,31,"blue-collar","yes","no","no",932
4923,32,"blue-collar","yes","no","no",557
4924,31,"management","no","yes","no",1260
4925,35,"management","yes","no","no",1045
4926,38,"blue-collar","yes","no","no",350
4927,48,"technician","yes","no","no",-136
4928,37,"services","yes","no","no",405
4929,45,"admin.","yes","no","no",373
4930,27,"blue-collar","yes","no","no",0
4931,33,"admin.","yes","no","no",2228
4932,31,"blue-collar","yes","no","no",58
4933,33,"blue-collar","yes","no","no",932
4934,36,"unemployed","yes","yes","no",-872
4935,37,"technician","yes","yes","no",1450
4936,37,"blue-collar","yes","no","no",2032
4937,32,"technician","yes","no","no",0
4938,30,"services","yes","no","no",1380
4939,37,"technician","yes","no","no",5729
4940,34,"technician","yes","no","no",951
4941,54,"management","yes","no","no",487
4942,36,"admin.","yes","no","no",957
4943,39,"retired","yes","no","no",855
4944,36,"management","yes","no","no",502
4945,37,"blue-collar","yes","no","no",204
4946,49,"blue-collar","yes","no","no",2262
4947,31,"admin.","yes","no","no",8784
4948,36,"blue-collar","yes","no","no",599
4949,31,"services","yes","yes","no",525
4950,29,"admin.","yes","no","no",688
4951,34,"management","yes","no","no",1350
4952,32,"technician","yes","no","no",1830
4953,31,"technician","no","yes","no",1887
4954,37,"blue-collar","yes","no","no",13156
4955,34,"blue-collar","yes","no","no",622
4956,35,"management","no","no","no",1336
4957,32,"blue-collar","yes","no","no",1067
4958,35,"entrepreneur","yes","no","no",12961
4959,31,"technician","yes","no","no",141
4960,41,"management","yes","no","no",1216
4961,31,"services","yes","no","no",891
4962,32,"blue-collar","yes","no","no",131
4963,33,"technician","no","no","no",5
4964,52,"blue-collar","yes","no","no",289
4965,32,"blue-collar","no","no","no",15341
4966,32,"technician","yes","no","no",901
4967,32,"entrepreneur","yes","no","no",4465
4968,34,"admin.","yes","no","no",1191
4969,35,"technician","yes","no","no",458
4970,36,"management","yes","no","no",1869
4971,37,"self-employed","yes","no","no",2084
4972,32,"technician","yes","no","no",1389
4973,34,"management","yes","no","no",0
4974,27,"services","yes","yes","no",1303
4975,33,"management","yes","no","no",11149
4976,36,"management","yes","yes","no",-35
4977,37,"blue-collar","yes","no","no",3242
4978,32,"blue-collar","yes","no","no",435
4979,32,"blue-collar","yes","no","no",2696
4980,29,"blue-collar","no","no","no",0
4981,34,"blue-collar","yes","yes","no",218
4982,33,"self-employed","yes","no","no",892
4983,31,"technician","yes","no","no",1410
4984,32,"blue-collar","yes","no","no",1721
4985,31,"admin.","yes","no","no",1583
4986,33,"technician","yes","no","no",296
4987,38,"management","yes","no","no",216
4988,35,"blue-collar","yes","no","no",463
4989,37,"management","yes","yes","no",547
4990,42,"technician","yes","no","no",2974
4991,34,"self-employed","yes","no","no",-370
4992,32,"management","yes","yes","no",6217
4993,28,"admin.","yes","yes","no",170
4994,29,"management","yes","yes","no",-559
4995,21,"student","yes","no","no",232
4996,31,"management","yes","no","no",385
4997,34,"blue-collar","yes","no","no",5304
4998,35,"management","yes","no","no",71
4999,32,"technician","yes","no","no",317
5000,32,"management","yes","no","no",728
5001,38,"services","yes","no","no",-121
5002,29,"management","yes","no","no",330
5003,31,"management","yes","no","no",825
5004,36,"management","no","no","no",247
5005,30,"technician","yes","no","no",3100
5006,33,"self-employed","yes","no","no",1301
5007,32,"blue-collar","yes","yes","no",29050
5008,27,"blue-collar","yes","yes","no",1279
5009,38,"self-employed","yes","no","no",585
5010,38,"management","yes","no","no",63
5011,28,"unemployed","yes","no","no",858
5012,40,"services","no","no","no",0
5013,34,"services","yes","no","no",581
5014,28,"technician","yes","no","no",2034
5015,35,"technician","yes","yes","no",1
5016,38,"self-employed","yes","no","no",1146
5017,34,"technician","yes","no","no",1091
5018,43,"housemaid","yes","no","no",-177
5019,30,"management","yes","yes","no",527
5020,31,"services","yes","no","no",481
5021,29,"admin.","yes","yes","no",5711
5022,31,"management","yes","no","no",1755
5023,25,"blue-collar","yes","no","no",491
5024,27,"technician","yes","yes","no",2183
5025,34,"technician","yes","no","no",299
5026,39,"blue-collar","no","no","no",1961
5027,38,"management","yes","no","no",126
5028,27,"management","yes","no","no",967
5029,28,"management","no","no","no",395
5030,33,"technician","yes","no","no",239
5031,48,"blue-collar","yes","no","no",338
5032,32,"blue-collar","yes","no","no",885
5033,32,"blue-collar","yes","no","no",564
5034,34,"retired","no","no","no",4499
5035,34,"services","yes","yes","no",603
5036,35,"technician","yes","yes","yes",-29
5037,32,"blue-collar","yes","yes","no",-325
5038,31,"services","yes","no","no",428
5039,32,"blue-collar","yes","yes","no",0
5040,28,"blue-collar","yes","no","no",722
5041,33,"management","yes","yes","no",541
5042,30,"services","yes","no","no",702
5043,39,"technician","yes","no","no",4444
5044,57,"blue-collar","yes","no","no",42
5045,39,"services","yes","yes","no",0
5046,24,"services","yes","no","no",-148
5047,34,"management","yes","no","no",1717
5048,32,"services","yes","no","no",1156
5049,32,"management","yes","no","no",1330
5050,33,"blue-collar","yes","no","no",754
5051,58,"entrepreneur","yes","no","no",7198
5052,32,"services","yes","no","no",-198
5053,28,"unemployed","yes","no","no",264
5054,32,"blue-collar","yes","no","no",5252
5055,30,"technician","yes","no","no",1289
5056,28,"blue-collar","yes","no","no",-114
5057,32,"technician","yes","no","no",4665
5058,37,"blue-collar","yes","no","no",5643
5059,29,"blue-collar","yes","no","no",445
5060,34,"management","yes","no","no",2412
5061,28,"services","yes","no","no",348
5062,36,"admin.","yes","no","no",775
5063,37,"blue-collar","yes","no","no",-114
5064,35,"management","yes","no","no",1631
5065,33,"technician","yes","no","no",313
5066,34,"entrepreneur","yes","yes","no",0
5067,35,"blue-collar","yes","no","no",3468
5068,24,"blue-collar","yes","no","no",171
5069,35,"blue-collar","yes","no","no",453
5070,40,"blue-collar","yes","yes","no",558
5071,32,"management","yes","no","no",1373
5072,38,"blue-collar","yes","no","no",-100
5073,35,"technician","yes","no","no",432
5074,39,"admin.","yes","no","no",1985
5075,34,"blue-collar","yes","no","no",223
5076,33,"management","yes","no","no",2308
5077,36,"self-employed","yes","no","no",4752
5078,52,"admin.","yes","no","no",1933
5079,58,"retired","yes","no","no",1402
5080,39,"blue-collar","yes","no","no",5853
5081,26,"services","yes","no","no",186
5082,34,"blue-collar","yes","yes","no",1739
5083,38,"entrepreneur","yes","no","no",6704
5084,35,"blue-collar","yes","no","no",1176
5085,30,"services","yes","no","no",-838
5086,33,"management","yes","no","no",28
5087,38,"self-employed","yes","no","no",-165
5088,31,"admin.","yes","no","no",2294
5089,34,"management","yes","no","no",293
5090,33,"management","yes","no","no",609
5091,46,"management","yes","yes","no",-867
5092,27,"blue-collar","yes","no","no",-208
5093,35,"services","yes","no","no",1317
5094,32,"admin.","yes","no","no",335
5095,33,"blue-collar","yes","no","no",1390
5096,37,"blue-collar","yes","no","no",1818
5097,37,"blue-collar","yes","no","no",543
5098,31,"blue-collar","yes","no","no",3298
5099,40,"unemployed","yes","no","no",1744
5100,34,"blue-collar","yes","yes","no",89
5101,32,"blue-collar","yes","no","no",-175
5102,36,"blue-collar","yes","no","no",20
5103,33,"blue-collar","yes","no","no",263
5104,27,"admin.","yes","yes","no",392
5105,31,"blue-collar","yes","no","no",1599
5106,32,"technician","yes","yes","no",644
5107,53,"blue-collar","yes","no","no",813
5108,39,"management","yes","no","no",2271
5109,33,"services","yes","no","no",881
5110,48,"blue-collar","yes","no","no",5366
5111,38,"blue-collar","yes","no","no",924
5112,33,"blue-collar","yes","no","no",240
5113,38,"blue-collar","yes","no","no",578
5114,30,"blue-collar","yes","no","no",1317
5115,39,"blue-collar","yes","no","no",2003
5116,33,"technician","yes","no","no",946
5117,46,"blue-collar","no","no","no",0
5118,32,"blue-collar","yes","no","no",920
5119,33,"self-employed","yes","no","no",1545
5120,28,"services","yes","yes","no",-427
5121,38,"admin.","yes","no","no",3732
5122,33,"technician","no","yes","no",8874
5123,37,"technician","yes","no","no",7867
5124,32,"management","yes","no","no",1756
5125,31,"management","yes","no","no",4924
5126,32,"technician","yes","no","no",4174
5127,34,"blue-collar","yes","no","no",360
5128,32,"services","yes","yes","no",255
5129,34,"technician","yes","no","no",3744
5130,37,"management","no","no","no",2205
5131,31,"technician","yes","no","no",510
5132,30,"blue-collar","yes","no","no",198
5133,31,"management","yes","no","no",24870
5134,32,"blue-collar","yes","no","no",43
5135,33,"admin.","yes","no","no",1779
5136,31,"technician","yes","yes","no",589
5137,31,"blue-collar","yes","yes","no",664
5138,28,"services","yes","no","no",115
5139,36,"entrepreneur","yes","no","no",352
5140,38,"blue-collar","yes","no","no",745
5141,31,"admin.","yes","no","no",5527
5142,31,"services","yes","no","no",629
5143,36,"blue-collar","yes","yes","no",342
5144,37,"technician","yes","no","no",3326
5145,36,"admin.","yes","yes","yes",-491
5146,31,"blue-collar","yes","no","no",0
5147,34,"services","yes","no","no",286
5148,34,"management","yes","no","no",4170
5149,32,"admin.","yes","no","no",76
5150,31,"admin.","no","no","no",-194
5151,33,"admin.","yes","no","no",1499
5152,34,"blue-collar","yes","no","no",245
5153,35,"blue-collar","yes","no","no",49
5154,30,"technician","yes","no","no",4733
5155,36,"blue-collar","yes","no","no",0
5156,26,"management","yes","no","no",1284
5157,44,"retired","yes","no","no",779
5158,23,"blue-collar","yes","no","no",965
5159,36,"blue-collar","yes","no","no",625
5160,39,"blue-collar","yes","no","no",568
5161,49,"blue-collar","yes","yes","no",913
5162,38,"blue-collar","yes","no","no",622
5163,51,"management","yes","no","no",140
5164,25,"services","yes","no","no",-61
5165,39,"technician","yes","no","no",4441
5166,31,"blue-collar","yes","yes","no",1138
5167,37,"management","yes","yes","no",0
5168,27,"technician","yes","yes","no",-147
5169,32,"blue-collar","yes","no","no",159
5170,34,"blue-collar","yes","no","no",336
5171,46,"blue-collar","yes","no","no",2173
5172,37,"blue-collar","yes","no","no",1455
5173,36,"blue-collar","yes","no","no",439
5174,32,"blue-collar","yes","no","no",783
5175,31,"blue-collar","no","no","no",-280
5176,53,"blue-collar","yes","no","no",1023
5177,33,"technician","yes","no","no",4369
5178,30,"blue-collar","yes","no","no",144
5179,31,"housemaid","no","no","no",540
5180,38,"blue-collar","yes","no","no",-5
5181,30,"blue-collar","yes","yes","no",906
5182,49,"blue-collar","no","no","no",1568
5183,44,"blue-collar","yes","no","no",858
5184,32,"management","no","no","no",3696
5185,56,"admin.","no","no","no",3784
5186,34,"entrepreneur","yes","no","no",3119
5187,27,"blue-collar","yes","no","no",1518
5188,47,"services","yes","no","no",4822
5189,35,"services","yes","no","no",0
5190,40,"management","yes","no","no",1393
5191,30,"blue-collar","yes","no","no",1023
5192,48,"management","no","no","no",4191
5193,39,"unemployed","yes","no","no",2645
5194,33,"blue-collar","yes","no","no",0
5195,38,"blue-collar","yes","no","no",776
5196,33,"blue-collar","yes","no","no",1165
5197,37,"management","yes","no","no",412
5198,57,"management","yes","no","no",461
5199,36,"blue-collar","no","no","no",-402
5200,37,"management","yes","no","no",1813
5201,32,"management","yes","no","no",1169
5202,26,"entrepreneur","yes","no","no",0
5203,33,"blue-collar","yes","no","no",511
5204,46,"blue-collar","yes","no","no",328
5205,27,"services","yes","no","no",259
5206,52,"blue-collar","no","no","no",126
5207,36,"technician","yes","no","no",5902
5208,33,"management","yes","no","no",10
5209,35,"management","yes","no","no",3137
5210,35,"admin.","yes","no","no",2238
5211,28,"self-employed","yes","no","no",131
5212,35,"blue-collar","yes","no","no",773
5213,30,"services","yes","yes","no",399
5214,52,"management","no","no","no",173
5215,36,"blue-collar","yes","no","no",690
5216,39,"services","yes","no","no",1601
5217,39,"blue-collar","yes","no","no",439
5218,33,"management","yes","no","no",3132
5219,32,"services","yes","no","no",-408
5220,29,"admin.","yes","no","no",265
5221,37,"technician","yes","no","no",363
5222,43,"technician","yes","no","no",8541
5223,33,"technician","yes","no","no",486
5224,33,"technician","yes","yes","no",594
5225,32,"blue-collar","no","yes","yes",98
5226,54,"blue-collar","yes","no","no",462
5227,33,"blue-collar","yes","no","no",372
5228,33,"admin.","yes","no","no",1221
5229,38,"self-employed","yes","no","no",917
5230,34,"management","yes","no","no",0
5231,33,"technician","yes","no","no",884
5232,32,"technician","yes","no","no",587
5233,31,"self-employed","no","no","no",91
5234,33,"entrepreneur","yes","no","no",165
5235,34,"technician","yes","no","no",456
5236,35,"blue-collar","yes","no","no",994
5237,31,"technician","yes","no","no",1710
5238,33,"blue-collar","yes","yes","no",1138
5239,31,"blue-collar","yes","no","no",360
5240,32,"management","yes","yes","no",2737
5241,36,"management","yes","no","no",8564
5242,30,"blue-collar","yes","yes","no",435
5243,43,"technician","yes","no","no",4243
5244,55,"blue-collar","yes","yes","no",989
5245,31,"technician","yes","no","no",1186
5246,32,"blue-collar","yes","no","no",1261
5247,33,"blue-collar","yes","no","no",25
5248,31,"blue-collar","yes","no","no",206
5249,35,"technician","yes","no","no",11423
5250,30,"blue-collar","yes","no","no",184
5251,35,"self-employed","yes","no","no",1354
5252,29,"self-employed","yes","no","no",751
5253,36,"blue-collar","yes","no","no",711
5254,37,"blue-collar","yes","yes","no",453
5255,32,"technician","yes","no","no",1129
5256,33,"entrepreneur","yes","no","no",237
5257,34,"services","yes","no","no",1239
5258,37,"technician","yes","no","no",0
5259,33,"blue-collar","yes","no","no",392
5260,34,"blue-collar","yes","no","no",2490
5261,37,"technician","yes","no","no",6714
5262,31,"blue-collar","yes","no","no",873
5263,34,"technician","yes","no","no",1464
5264,35,"blue-collar","yes","no","no",90
5265,31,"blue-collar","yes","no","no",714
5266,33,"blue-collar","yes","no","no",463
5267,40,"self-employed","yes","yes","no",1516
5268,31,"blue-collar","yes","no","no",509
5269,30,"technician","yes","no","no",207
5270,30,"management","yes","no","no",3967
5271,37,"blue-collar","yes","no","no",3517
5272,38,"services","yes","no","no",435
5273,33,"blue-collar","yes","no","no",6227
5274,34,"technician","no","no","no",1092
5275,35,"services","yes","no","no",394
5276,30,"blue-collar","yes","no","no",239
5277,40,"blue-collar","yes","no","yes",-509
5278,31,"services","yes","no","no",-32
5279,32,"management","no","no","no",11315
5280,31,"services","yes","no","no",1273
5281,30,"services","yes","no","no",1649
5282,34,"services","yes","no","no",84
5283,30,"blue-collar","yes","yes","no",278
5284,32,"services","yes","yes","no",2459
5285,31,"technician","yes","no","no",4941
5286,34,"blue-collar","yes","no","no",3798
5287,30,"blue-collar","yes","no","no",597
5288,32,"management","yes","no","no",-32
5289,37,"admin.","yes","no","no",525
5290,33,"self-employed","yes","yes","no",416
5291,31,"admin.","yes","no","no",680
5292,37,"admin.","yes","no","no",4303
5293,32,"management","yes","no","no",3050
5294,34,"blue-collar","yes","no","no",750
5295,34,"admin.","yes","no","no",5547
5296,35,"management","yes","no","no",643
5297,33,"technician","yes","no","no",-386
5298,31,"management","yes","no","no",5889
5299,32,"services","yes","no","no",207
5300,32,"student","yes","no","no",1883
5301,32,"blue-collar","yes","no","no",697
5302,31,"self-employed","yes","no","no",14692
5303,30,"blue-collar","yes","no","no",595
5304,30,"management","yes","no","no",1243
5305,41,"self-employed","yes","yes","no",-326
5306,33,"management","yes","no","no",17946
5307,34,"admin.","yes","no","no",2144
5308,39,"management","yes","no","no",1410
5309,33,"management","yes","no","no",18347
5310,33,"technician","yes","no","no",177
5311,22,"blue-collar","yes","no","no",0
5312,35,"technician","no","no","no",291
5313,34,"admin.","yes","no","no",1880
5314,31,"management","yes","no","no",7
5315,39,"technician","yes","no","no",21
5316,30,"management","yes","no","no",136
5317,36,"technician","yes","no","no",9068
5318,31,"entrepreneur","yes","no","no",159
5319,42,"services","yes","no","no",2557
5320,39,"technician","yes","no","no",287
5321,25,"student","yes","no","no",1765
5322,34,"blue-collar","yes","no","no",571
5323,31,"admin.","yes","yes","no",0
5324,35,"technician","yes","no","no",700
5325,44,"blue-collar","yes","no","no",0
5326,28,"blue-collar","yes","yes","no",59
5327,28,"technician","yes","no","no",370
5328,31,"entrepreneur","yes","no","no",0
5329,32,"blue-collar","yes","no","no",225
5330,36,"admin.","yes","yes","no",-118
5331,32,"technician","yes","no","no",390
5332,37,"management","yes","no","no",1379
5333,36,"blue-collar","yes","no","no",1168
5334,41,"retired","no","no","no",287
5335,32,"blue-collar","yes","no","no",2549
5336,34,"admin.","yes","no","no",79
5337,31,"management","yes","no","no",0
5338,32,"blue-collar","yes","no","no",827
5339,39,"management","yes","no","no",12
5340,36,"blue-collar","yes","yes","no",973
5341,34,"housemaid","yes","no","no",1408
5342,34,"blue-collar","yes","no","no",2495
5343,35,"management","yes","no","no",339
5344,32,"technician","yes","no","no",0
5345,36,"blue-collar","yes","no","no",520
5346,40,"services","yes","yes","no",5745
5347,36,"blue-collar","yes","no","no",222
5348,33,"self-employed","yes","no","no",-355
5349,31,"management","yes","no","no",1804
5350,30,"blue-collar","yes","no","no",253
5351,33,"blue-collar","yes","no","no",524
5352,29,"admin.","no","no","no",132
5353,36,"management","yes","yes","yes",-1
5354,47,"technician","yes","no","no",-401
5355,32,"blue-collar","yes","no","no",410
5356,32,"technician","yes","no","no",3155
5357,50,"technician","no","no","no",247
5358,41,"management","no","no","no",16
5359,29,"housemaid","yes","no","no",823
5360,24,"admin.","yes","no","no",1141
5361,56,"blue-collar","yes","no","no",246
5362,55,"blue-collar","yes","no","no",-102
5363,32,"management","no","no","no",151
5364,32,"technician","yes","no","no",1212
5365,56,"retired","yes","no","no",397
5366,32,"self-employed","no","no","no",-6
5367,28,"blue-collar","yes","no","no",56
5368,34,"blue-collar","yes","no","no",1156
5369,36,"blue-collar","yes","yes","no",-327
5370,26,"student","yes","no","no",1570
5371,51,"management","yes","yes","no",-175
5372,43,"technician","yes","no","no",353
5373,42,"admin.","yes","no","no",61
5374,31,"management","yes","no","no",-1206
5375,29,"blue-collar","yes","no","no",208
5376,28,"blue-collar","yes","no","no",38
5377,52,"admin.","yes","yes","no",-209
5378,44,"technician","yes","no","no",759
5379,38,"blue-collar","yes","no","no",-40
5380,28,"blue-collar","yes","no","no",4
5381,24,"services","yes","yes","no",45
5382,29,"services","yes","yes","no",-753
5383,24,"technician","yes","no","no",820
5384,32,"technician","yes","yes","no",0
5385,27,"blue-collar","yes","no","no",672
5386,41,"technician","yes","yes","no",-762
5387,42,"management","yes","no","no",422
5388,25,"blue-collar","yes","no","no",51
5389,36,"admin.","yes","no","no",1601
5390,36,"blue-collar","yes","no","no",2278
5391,24,"services","yes","no","yes",110
5392,32,"technician","yes","yes","no",539
5393,37,"admin.","yes","no","no",-332
5394,46,"admin.","no","no","yes",0
5395,29,"admin.","yes","yes","no",468
5396,43,"unemployed","yes","no","no",240
5397,30,"services","no","yes","no",2
5398,33,"services","yes","no","yes",339
5399,46,"management","yes","no","no",295
5400,54,"technician","no","no","no",7252
5401,36,"technician","yes","no","no",1109
5402,40,"management","yes","no","no",-319
5403,34,"technician","yes","no","no",5553
5404,30,"services","yes","no","no",187
5405,30,"blue-collar","yes","no","no",2080
5406,45,"management","yes","no","no",-319
5407,25,"blue-collar","yes","no","no",-221
5408,28,"services","no","yes","no",2114
5409,30,"blue-collar","yes","no","no",4009
5410,35,"admin.","yes","no","no",579
5411,48,"technician","no","no","no",3142
5412,35,"blue-collar","yes","no","no",-205
5413,30,"blue-collar","no","no","no",79
5414,38,"technician","yes","no","no",-591
5415,55,"technician","no","no","no",440
5416,32,"blue-collar","yes","yes","yes",-274
5417,45,"services","yes","yes","no",0
5418,35,"technician","yes","yes","no",2043
5419,30,"blue-collar","yes","yes","no",282
5420,31,"management","yes","yes","no",-26
5421,46,"management","no","no","no",-267
5422,29,"management","yes","no","no",368
5423,33,"blue-collar","yes","no","no",745
5424,49,"management","yes","no","no",383
5425,37,"services","yes","no","no",239
5426,47,"services","yes","no","no",382
5427,39,"admin.","yes","yes","no",2679
5428,32,"blue-collar","yes","no","no",3
5429,55,"technician","yes","no","no",4746
5430,41,"technician","no","no","no",30
5431,39,"unemployed","yes","no","no",-455
5432,30,"technician","yes","no","no",0
5433,31,"blue-collar","yes","yes","no",-78
5434,30,"management","yes","yes","no",302
5435,44,"admin.","yes","no","no",-299
5436,31,"unemployed","yes","no","no",1611
5437,34,"management","yes","no","no",498
5438,32,"admin.","no","no","no",0
5439,26,"unemployed","yes","yes","no",454
5440,39,"self-employed","yes","no","no",0
5441,35,"admin.","no","no","no",30
5442,35,"services","yes","yes","no",511
5443,32,"admin.","yes","no","no",127
5444,32,"services","yes","no","no",1940
5445,30,"services","yes","no","no",-108
5446,43,"admin.","yes","no","no",242
5447,29,"blue-collar","yes","no","no",1012
5448,27,"admin.","yes","yes","no",-393
5449,27,"services","yes","no","no",430
5450,33,"blue-collar","yes","no","no",-825
5451,29,"blue-collar","yes","no","no",135
5452,28,"blue-collar","yes","no","no",369
5453,32,"management","yes","no","no",1522
5454,30,"services","yes","no","no",523
5455,39,"services","yes","no","no",104
5456,35,"management","yes","no","no",341
5457,49,"blue-collar","yes","no","no",3767
5458,32,"management","yes","no","no",1667
5459,35,"blue-collar","yes","no","no",430
5460,37,"blue-collar","yes","no","no",603
5461,45,"blue-collar","no","no","no",0
5462,37,"blue-collar","yes","no","no",510
5463,40,"admin.","yes","no","no",0
5464,33,"technician","yes","yes","no",17455
5465,36,"admin.","yes","no","no",176
5466,42,"blue-collar","yes","no","no",139
5467,30,"management","yes","no","no",3625
5468,32,"management","yes","no","no",1651
5469,26,"services","yes","no","no",74
5470,45,"blue-collar","yes","no","no",-311
5471,35,"admin.","yes","no","no",-413
5472,39,"entrepreneur","yes","no","no",1202
5473,33,"management","yes","no","no",321
5474,32,"technician","yes","no","no",221
5475,27,"admin.","yes","no","no",1996
5476,39,"technician","yes","no","no",1222
5477,43,"entrepreneur","yes","yes","yes",150
5478,31,"admin.","yes","no","no",701
5479,50,"admin.","yes","yes","no",0
5480,53,"admin.","yes","no","no",-375
5481,31,"services","yes","no","no",6374
5482,36,"services","yes","no","no",387
5483,45,"admin.","yes","no","no",149
5484,38,"blue-collar","yes","no","no",630
5485,31,"entrepreneur","yes","no","no",150
5486,31,"blue-collar","yes","yes","no",1358
5487,36,"admin.","yes","no","no",614
5488,40,"services","yes","yes","no",-212
5489,30,"technician","yes","no","no",590
5490,35,"management","yes","no","no",8
5491,42,"admin.","yes","yes","no",687
5492,45,"blue-collar","yes","yes","no",61
5493,41,"technician","yes","yes","no",-210
5494,33,"blue-collar","yes","no","no",1541
5495,32,"blue-collar","yes","no","no",1342
5496,32,"self-employed","yes","no","no",4
5497,30,"management","yes","no","no",501
5498,34,"blue-collar","yes","no","no",128
5499,33,"blue-collar","yes","no","no",1464
5500,30,"management","yes","no","no",6
5501,34,"blue-collar","yes","no","yes",-369
5502,38,"blue-collar","yes","no","no",1375
5503,36,"technician","no","no","no",0
5504,34,"technician","yes","no","no",4053
5505,24,"blue-collar","yes","no","no",-286
5506,30,"self-employed","yes","no","no",253
5507,34,"blue-collar","yes","no","no",157
5508,39,"services","yes","no","no",1951
5509,36,"blue-collar","yes","no","no",4519
5510,33,"blue-collar","yes","no","no",1134
5511,31,"technician","yes","no","no",426
5512,43,"admin.","yes","yes","no",-495
5513,34,"admin.","yes","no","no",1049
