"index","job","housing_loan","personal_loan","credit_default","balance"
10695,"technician","no","no","no",1725
10696,"services","yes","no","no",725
10697,"blue-collar","yes","no","no",235
10698,"blue-collar","yes","no","no",1752
10699,"management","yes","yes","no",93
10700,"management","no","no","no",7124
10701,"admin.","no","no","no",2741
10702,"blue-collar","no","no","no",667
10703,"housemaid","no","no","no",72
10704,"admin.","yes","yes","no",1116
10705,"management","no","no","no",647
10706,"technician","no","no","no",1695
10707,"services","no","no","no",2
10708,"admin.","no","no","no",-192
10709,"blue-collar","yes","no","no",389
10710,"housemaid","no","no","no",1035
10711,"admin.","no","no","no",16
10712,"management","no","no","no",0
10713,"blue-collar","no","no","no",3096
10714,"blue-collar","no","no","no",4166
10715,"technician","no","no","no",94
10716,"technician","no","no","no",1832
10717,"retired","no","no","no",470
10718,"management","no","no","no",270
10719,"blue-collar","no","yes","no",5050
10720,"entrepreneur","yes","no","no",388
10721,"management","no","no","no",0
10722,"entrepreneur","yes","yes","no",535
10723,"retired","no","no","no",1156
10724,"housemaid","no","no","no",938
10725,"housemaid","yes","no","no",240
10726,"entrepreneur","no","no","no",3057
10727,"management","yes","no","no",-1212
10728,"self-employed","no","no","no",6
10729,"technician","yes","no","no",671
10730,"unemployed","no","no","no",278
10731,"blue-collar","yes","no","no",736
10732,"entrepreneur","no","no","no",0
10733,"housemaid","no","no","no",108
10734,"blue-collar","yes","no","no",835
10735,"blue-collar","yes","no","no",1080
10736,"technician","yes","no","no",579
10737,"management","yes","no","no",2580
10738,"unknown","no","no","no",1241
10739,"admin.","no","no","no",0
10740,"management","no","no","no",2445
10741,"technician","yes","no","no",417
10742,"management","no","no","no",1847
10743,"admin.","no","no","no",987
10744,"management","no","no","no",0
10745,"management","no","no","no",5914
10746,"entrepreneur","no","yes","no",-272
10747,"technician","no","no","no",0
10748,"admin.","no","no","no",2967
10749,"management","no","no","no",21664
10750,"management","no","no","no",538
10751,"technician","yes","no","no",-720
10752,"self-employed","yes","no","no",92
10753,"management","no","no","no",1136
10754,"management","no","no","no",0
10755,"self-employed","no","no","no",333
10756,"services","no","yes","no",105
10757,"blue-collar","no","no","no",-55
10758,"blue-collar","no","no","no",1262
10759,"self-employed","yes","yes","no",421
10760,"management","yes","no","no",2026
10761,"blue-collar","no","no","no",2896
10762,"blue-collar","no","yes","no",1046
10763,"management","yes","no","no",3091
10764,"housemaid","no","no","no",1088
10765,"blue-collar","no","no","no",1537
10766,"blue-collar","no","no","no",866
10767,"self-employed","no","no","no",372
10768,"technician","yes","yes","no",403
10769,"management","no","no","no",1374
10770,"services","no","no","no",1313
10771,"entrepreneur","no","no","no",27
10772,"management","no","no","no",0
10773,"blue-collar","no","no","no",2169
10774,"housemaid","yes","no","no",698
10775,"blue-collar","no","no","no",0
10776,"retired","no","no","no",466
10777,"services","no","no","no",718
10778,"technician","no","yes","no",1498
10779,"admin.","yes","no","no",2600
10780,"retired","no","no","no",1098
10781,"retired","no","no","no",0
10782,"blue-collar","no","no","no",123
10783,"retired","yes","yes","no",0
10784,"technician","no","no","no",2496
10785,"technician","no","no","no",562
10786,"housemaid","no","no","no",103
10787,"services","no","no","no",361
10788,"technician","no","no","no",1385
10789,"management","no","no","no",676
10790,"blue-collar","no","no","no",426
10791,"technician","no","no","no",130
10792,"management","no","no","no",0
10793,"admin.","no","no","no",-58
10794,"technician","yes","no","no",2512
10795,"retired","no","no","no",296
10796,"blue-collar","no","no","no",6622
10797,"management","no","no","no",391
10798,"blue-collar","no","no","no",1564
10799,"blue-collar","no","no","no",1670
10800,"entrepreneur","no","no","no",1654
10801,"technician","no","no","no",984
10802,"unemployed","yes","yes","no",3287
10803,"admin.","yes","yes","yes",-437
10804,"services","no","no","no",494
10805,"management","no","no","no",1234
10806,"admin.","no","no","no",1078
10807,"blue-collar","no","yes","no",402
10808,"management","yes","yes","no",854
10809,"management","no","no","no",438
10810,"retired","yes","no","no",1296
10811,"admin.","no","no","no",1891
10812,"retired","no","no","no",7938
10813,"blue-collar","no","no","no",2040
10814,"entrepreneur","no","no","no",2138
10815,"blue-collar","yes","no","no",686
10816,"retired","no","no","no",5799
10817,"admin.","yes","no","no",810
10818,"entrepreneur","yes","no","no",1068
10819,"services","no","no","no",3
10820,"housemaid","no","no","no",2014
10821,"self-employed","no","no","no",652
10822,"blue-collar","no","no","no",2190
10823,"retired","no","yes","no",1735
10824,"management","no","no","no",2892
10825,"management","no","no","no",439
10826,"self-employed","yes","no","no",4722
10827,"management","no","no","no",451
10828,"retired","no","no","no",2516
10829,"housemaid","no","no","no",2291
10830,"management","no","no","no",2837
10831,"housemaid","no","no","no",0
10832,"blue-collar","no","no","no",7265
10833,"blue-collar","no","yes","no",-82
10834,"blue-collar","no","no","no",4696
10835,"blue-collar","yes","no","no",475
10836,"unknown","no","no","no",5837
10837,"technician","yes","yes","no",3
10838,"technician","no","no","no",335
10839,"retired","no","no","no",568
10840,"services","no","no","no",175
10841,"retired","no","no","no",25824
10842,"housemaid","no","no","no",1870
10843,"housemaid","no","no","no",460
10844,"management","no","no","no",1446
10845,"housemaid","no","no","no",17
10846,"blue-collar","no","no","no",0
10847,"blue-collar","no","no","no",145
10848,"blue-collar","no","no","no",6091
10849,"services","no","no","no",250
10850,"entrepreneur","no","no","no",231
10851,"blue-collar","no","yes","no",530
10852,"self-employed","no","no","no",1415
10853,"management","no","no","no",5559
10854,"blue-collar","no","no","no",214
10855,"housemaid","no","no","no",1238
10856,"admin.","yes","yes","no",505
10857,"retired","no","no","no",925
10858,"technician","no","yes","no",431
10859,"housemaid","no","no","no",1060
10860,"retired","no","no","no",4
10861,"self-employed","no","no","no",1116
10862,"services","no","no","no",651
10863,"technician","yes","no","no",2910
10864,"blue-collar","no","no","no",73
10865,"blue-collar","no","no","no",0
10866,"housemaid","no","no","no",336
10867,"unknown","no","no","no",1728
10868,"blue-collar","no","no","no",5818
10869,"technician","no","no","no",592
10870,"technician","no","no","no",4322
10871,"technician","no","no","no",0
10872,"blue-collar","no","no","no",1869
10873,"management","no","no","no",766
10874,"blue-collar","yes","no","no",5092
10875,"blue-collar","no","no","no",11
10876,"management","yes","no","no",4961
10877,"blue-collar","no","no","no",246
10878,"admin.","yes","no","no",0
10879,"admin.","no","no","no",35
10880,"blue-collar","no","no","no",544
10881,"management","yes","no","no",2043
10882,"management","no","no","no",1191
10883,"entrepreneur","no","no","no",1756
10884,"blue-collar","no","no","no",702
10885,"blue-collar","no","yes","no",2491
10886,"retired","no","no","no",0
10887,"blue-collar","no","no","no",1653
10888,"blue-collar","no","no","no",507
10889,"unknown","no","no","no",0
10890,"blue-collar","yes","no","no",193
10891,"services","yes","no","no",517
10892,"entrepreneur","yes","no","no",780
10893,"blue-collar","yes","no","no",1270
10894,"blue-collar","no","yes","no",48
10895,"blue-collar","no","no","no",1562
10896,"blue-collar","yes","no","no",679
10897,"management","no","no","no",1467
10898,"blue-collar","yes","no","no",1678
10899,"housemaid","no","no","no",942
10900,"blue-collar","yes","no","no",521
10901,"management","yes","no","no",2276
10902,"technician","yes","no","no",5251
10903,"technician","no","yes","no",305
10904,"housemaid","yes","yes","no",3
10905,"admin.","no","yes","yes",76
10906,"housemaid","no","no","no",608
10907,"management","yes","no","no",531
10908,"blue-collar","no","no","no",1522
10909,"self-employed","no","no","no",39
10910,"blue-collar","no","no","no",2641
10911,"technician","no","no","no",1255
10912,"blue-collar","yes","no","no",647
10913,"management","no","no","no",1989
10914,"blue-collar","no","no","no",886
10915,"blue-collar","no","no","no",18
10916,"admin.","no","no","no",1568
10917,"housemaid","no","no","no",1382
10918,"blue-collar","yes","no","no",103
10919,"management","yes","yes","no",1437
10920,"housemaid","no","yes","yes",0
10921,"services","no","no","no",0
10922,"blue-collar","no","no","no",524
10923,"housemaid","no","yes","no",352
10924,"management","yes","no","no",278
10925,"self-employed","no","no","no",753
10926,"blue-collar","yes","yes","no",-158
10927,"self-employed","no","no","no",104
10928,"management","no","no","no",1103
10929,"self-employed","yes","no","no",671
10930,"unemployed","no","no","no",258
10931,"blue-collar","yes","no","no",1100
10932,"blue-collar","no","no","no",7
10933,"retired","yes","no","no",515
10934,"blue-collar","no","no","no",711
10935,"services","no","no","no",7434
10936,"self-employed","no","no","no",1603
10937,"self-employed","yes","no","no",969
10938,"admin.","no","no","no",787
10939,"retired","no","no","no",150
10940,"services","yes","no","no",914
10941,"management","no","yes","no",752
10942,"blue-collar","no","no","no",553
10943,"entrepreneur","no","no","no",926
10944,"management","yes","no","no",557
10945,"blue-collar","no","no","no",5830
10946,"housemaid","no","no","no",6181
10947,"management","yes","no","no",4266
10948,"technician","no","no","no",110
10949,"management","no","no","no",0
10950,"housemaid","yes","no","no",334
10951,"retired","no","no","no",3
10952,"housemaid","no","no","no",3706
10953,"entrepreneur","no","no","no",5838
10954,"unemployed","no","no","no",830
10955,"blue-collar","yes","no","no",-616
10956,"technician","no","no","no",268
10957,"blue-collar","no","no","no",53
10958,"retired","no","yes","no",2703
10959,"student","no","no","no",3316
10960,"blue-collar","no","no","no",402
10961,"blue-collar","yes","no","no",608
10962,"entrepreneur","no","no","no",120
10963,"services","yes","no","no",1483
10964,"entrepreneur","no","no","no",926
10965,"services","yes","no","no",2745
10966,"entrepreneur","no","no","no",-49
10967,"services","no","no","no",752
10968,"student","no","no","no",2374
10969,"services","no","no","no",99
10970,"management","no","no","no",106
10971,"technician","no","no","no",404
10972,"blue-collar","no","no","no",2239
10973,"management","no","yes","no",1170
10974,"management","no","no","no",12877
10975,"services","yes","no","no",440
10976,"blue-collar","yes","no","no",1318
10977,"entrepreneur","no","no","no",251
10978,"self-employed","no","no","no",1317
10979,"self-employed","yes","no","no",4515
10980,"admin.","no","yes","no",652
10981,"admin.","no","yes","no",306
10982,"management","yes","no","no",720
10983,"housemaid","no","no","no",322
10984,"services","yes","no","no",4471
10985,"management","no","no","no",6613
10986,"blue-collar","yes","no","no",2303
10987,"blue-collar","no","no","no",99
10988,"technician","yes","no","no",-269
10989,"management","no","no","no",3301
10990,"blue-collar","yes","no","no",354
10991,"self-employed","no","no","no",556
10992,"entrepreneur","no","no","no",22946
10993,"services","yes","yes","no",1364
10994,"unemployed","no","no","no",4110
10995,"blue-collar","no","no","no",2409
10996,"admin.","no","no","no",726
10997,"technician","yes","no","no",178
10998,"blue-collar","no","no","no",265
10999,"housemaid","no","no","no",758
11000,"housemaid","no","no","no",1354
11001,"admin.","no","no","no",0
11002,"technician","no","yes","no",-184
11003,"services","no","no","no",124
11004,"retired","no","no","no",1126
11005,"unknown","no","no","no",2226
11006,"services","yes","yes","no",9
11007,"technician","yes","yes","no",1911
11008,"self-employed","no","no","no",5244
11009,"retired","yes","no","no",1614
11010,"services","yes","yes","no",2801
11011,"unemployed","no","no","no",926
11012,"technician","no","no","no",770
11013,"blue-collar","yes","no","no",5279
11014,"self-employed","no","no","no",148
11015,"blue-collar","yes","yes","no",0
11016,"services","no","no","no",741
11017,"technician","no","no","no",788
11018,"admin.","no","yes","no",276
11019,"services","yes","no","no",-10
11020,"management","no","no","yes",-25
11021,"housemaid","no","no","no",0
11022,"management","no","no","no",392
11023,"entrepreneur","no","yes","no",156
11024,"admin.","no","no","yes",-302
11025,"admin.","yes","no","no",156
11026,"blue-collar","yes","no","no",3649
11027,"services","yes","no","no",1610
11028,"services","no","no","no",1321
11029,"retired","yes","yes","no",232
11030,"management","no","no","no",267
11031,"technician","no","no","no",619
11032,"blue-collar","no","no","no",358
11033,"management","no","no","no",171
11034,"management","no","no","no",913
11035,"entrepreneur","no","no","no",0
11036,"housemaid","no","no","no",3957
11037,"blue-collar","no","no","no",1551
11038,"entrepreneur","no","no","no",197
11039,"housemaid","no","no","no",618
11040,"blue-collar","no","no","no",-119
11041,"technician","no","yes","no",1490
11042,"blue-collar","no","no","no",288
11043,"blue-collar","no","no","no",1409
11044,"technician","no","no","no",851
11045,"technician","no","no","no",236
11046,"housemaid","no","no","no",120
11047,"services","no","no","no",580
11048,"technician","no","yes","no",1116
11049,"services","yes","yes","no",398
11050,"blue-collar","yes","no","no",331
11051,"blue-collar","yes","no","no",3942
11052,"blue-collar","no","no","no",7944
11053,"services","no","no","no",468
11054,"management","no","no","no",3329
11055,"blue-collar","no","yes","yes",0
11056,"services","no","no","no",1981
11057,"management","no","no","no",71
11058,"self-employed","yes","yes","no",307
11059,"management","no","no","no",502
11060,"management","no","no","no",25
11061,"housemaid","no","no","no",57
11062,"unknown","no","no","no",1979
11063,"blue-collar","yes","no","no",370
11064,"blue-collar","no","no","no",4073
11065,"blue-collar","yes","no","no",46
11066,"admin.","yes","no","yes",-95
11067,"management","no","yes","no",7388
11068,"technician","no","no","no",531
11069,"management","yes","no","no",734
11070,"admin.","no","no","no",10465
11071,"blue-collar","yes","no","no",2357
11072,"technician","yes","no","no",2355
11073,"services","no","no","no",1359
11074,"management","no","no","no",51
11075,"services","no","no","no",0
11076,"retired","no","no","no",865
11077,"entrepreneur","no","no","no",873
11078,"blue-collar","no","no","no",2596
11079,"technician","no","no","no",662
11080,"retired","no","no","no",5253
11081,"services","no","no","no",9231
11082,"blue-collar","no","no","no",0
11083,"blue-collar","no","no","no",0
11084,"retired","no","no","no",424
11085,"management","no","no","no",0
11086,"blue-collar","yes","yes","no",551
11087,"technician","no","no","no",1123
11088,"housemaid","yes","yes","no",434
11089,"blue-collar","no","no","no",-1
11090,"technician","no","no","no",265
11091,"admin.","yes","no","no",1200
11092,"services","no","no","no",1134
11093,"management","no","no","no",26
11094,"admin.","yes","no","no",1253
11095,"unknown","no","no","no",10
11096,"admin.","yes","no","no",231
11097,"blue-collar","no","no","no",557
11098,"blue-collar","no","yes","no",1736
11099,"self-employed","no","no","no",256
11100,"retired","no","no","no",31
11101,"entrepreneur","no","no","no",31
11102,"blue-collar","yes","no","no",-493
11103,"blue-collar","no","no","no",103
11104,"housemaid","yes","no","no",1104
11105,"blue-collar","no","no","no",262
11106,"services","yes","no","no",2657
11107,"blue-collar","no","no","no",415
11108,"management","yes","no","no",2253
11109,"management","no","yes","no",1330
11110,"services","no","no","no",0
11111,"unknown","no","no","no",2918
11112,"housemaid","no","yes","no",1093
11113,"housemaid","no","no","no",3151
11114,"admin.","no","no","no",224
11115,"retired","no","no","no",67
11116,"retired","no","no","no",0
11117,"blue-collar","yes","no","no",-565
11118,"services","no","no","no",2289
11119,"self-employed","no","no","no",426
11120,"blue-collar","yes","no","no",9
11121,"blue-collar","no","no","no",1101
11122,"unemployed","no","no","no",8267
11123,"management","no","no","no",223
11124,"admin.","yes","no","no",1096
11125,"blue-collar","no","no","no",704
11126,"management","no","no","no",192
11127,"services","no","no","no",9
11128,"blue-collar","no","no","no",1707
11129,"entrepreneur","yes","no","no",47
11130,"unknown","no","no","no",1370
11131,"management","yes","yes","no",729
11132,"unemployed","no","no","no",7798
11133,"technician","yes","yes","no",629
11134,"blue-collar","no","no","no",3760
11135,"admin.","yes","yes","no",0
11136,"services","yes","no","no",201
11137,"admin.","yes","yes","no",416
11138,"services","yes","yes","no",-501
11139,"blue-collar","yes","no","no",39
11140,"blue-collar","yes","no","no",1279
11141,"blue-collar","yes","no","no",10721
11142,"blue-collar","yes","no","no",975
11143,"management","yes","no","no",620
11144,"admin.","yes","yes","no",311
11145,"management","no","no","no",0
11146,"admin.","yes","no","no",-97
11147,"blue-collar","yes","no","no",0
11148,"admin.","yes","yes","no",479
11149,"management","no","yes","no",46
11150,"technician","yes","no","no",1202
11151,"blue-collar","yes","no","no",363
11152,"blue-collar","yes","no","no",1147
11153,"entrepreneur","no","no","no",369
11154,"unknown","no","no","no",219
11155,"services","no","no","no",62
11156,"housemaid","no","no","no",143
11157,"admin.","no","no","no",3485
11158,"retired","no","no","no",97
11159,"housemaid","no","no","no",0
11160,"management","no","no","no",657
11161,"management","no","no","no",1304
11162,"entrepreneur","no","no","no",2351
11163,"retired","no","no","no",1524
11164,"housemaid","no","no","no",0
11165,"blue-collar","yes","yes","no",773
11166,"housemaid","no","no","no",197
11167,"blue-collar","yes","no","no",2627
11168,"admin.","yes","no","no",165
11169,"blue-collar","no","no","yes",-689
11170,"technician","no","no","no",397
11171,"management","no","no","no",11265
11172,"management","no","no","no",5836
11173,"management","no","no","no",391
11174,"student","no","no","no",0
11175,"unknown","no","no","no",0
11176,"blue-collar","no","no","no",1743
11177,"technician","yes","yes","no",594
11178,"retired","no","yes","no",1582
11179,"blue-collar","no","no","no",2791
11180,"technician","no","no","no",997
11181,"entrepreneur","yes","yes","no",2310
11182,"technician","no","no","yes",0
11183,"management","no","no","no",1401
11184,"housemaid","no","no","no",5048
11185,"management","no","yes","yes",0
11186,"management","yes","no","no",0
11187,"management","no","no","no",11008
11188,"retired","no","no","no",332
11189,"technician","no","yes","no",179
11190,"blue-collar","no","no","no",761
11191,"blue-collar","no","yes","no",889
11192,"blue-collar","no","no","no",4930
11193,"technician","yes","no","no",-813
11255,"management","no","no","no",3296
11194,"self-employed","no","no","no",2087
11195,"housemaid","no","no","no",0
11196,"retired","no","no","no",0
11197,"retired","yes","no","no",490
11198,"retired","yes","no","no",5173
11199,"management","no","no","no",5348
11200,"technician","no","no","no",603
11201,"services","no","no","no",755
11202,"services","no","yes","no",829
11203,"self-employed","no","no","no",2235
11204,"retired","no","no","no",3
11205,"student","no","no","no",722
11206,"management","no","no","no",414
11207,"retired","yes","no","no",389
11208,"unknown","no","no","no",167
11209,"services","no","no","no",-224
11210,"blue-collar","no","no","no",0
11211,"services","no","no","no",6497
11212,"blue-collar","yes","no","no",1025
11213,"blue-collar","no","no","no",1201
11214,"management","no","no","no",17361
11215,"housemaid","no","no","no",0
11216,"services","no","no","no",616
11217,"management","no","no","no",959
11218,"admin.","yes","no","no",1019
11219,"management","no","no","no",1172
11220,"retired","no","no","no",5744
11221,"management","yes","no","no",3768
11222,"housemaid","no","no","no",1274
11223,"blue-collar","no","no","no",2870
11224,"services","no","no","no",753
11225,"retired","no","no","no",9
11226,"management","yes","yes","no",2283
11227,"retired","no","no","no",1245
11228,"housemaid","no","no","no",1194
11229,"blue-collar","no","yes","no",-186
11230,"admin.","no","no","no",17957
11231,"self-employed","no","no","no",0
11232,"services","yes","no","no",1872
11233,"entrepreneur","no","no","no",773
11234,"management","yes","no","no",7419
11235,"blue-collar","yes","no","no",517
11236,"admin.","no","no","no",90
11237,"management","no","no","no",0
11238,"blue-collar","no","no","no",4330
11239,"entrepreneur","no","no","no",440
11240,"admin.","yes","no","no",1800
11241,"blue-collar","yes","no","no",486
11242,"blue-collar","no","no","no",2443
11243,"self-employed","no","no","no",235
11244,"unemployed","no","no","no",0
11245,"management","no","no","no",1147
11246,"blue-collar","yes","no","no",-448
11247,"retired","no","no","no",1336
11248,"blue-collar","no","no","no",337
11249,"admin.","no","no","no",1476
11250,"services","no","no","no",2128
11251,"entrepreneur","no","no","no",707
11252,"technician","yes","yes","no",4
11253,"technician","no","no","no",3478
11254,"admin.","no","no","no",126
11256,"services","no","no","no",1771
11257,"services","yes","no","no",446
11258,"unknown","no","no","no",200
11259,"housemaid","no","no","no",5233
11260,"blue-collar","yes","no","no",45
11261,"technician","no","no","no",11
11262,"retired","no","yes","no",681
11263,"housemaid","no","no","no",37
11264,"technician","no","no","no",2682
11265,"management","no","no","no",2729
11266,"technician","no","no","no",1776
11267,"admin.","no","no","no",479
11268,"management","no","no","no",11
11269,"unknown","no","no","no",1880
11270,"admin.","no","no","no",3916
11271,"management","yes","no","no",220
11272,"student","no","no","no",386
11273,"blue-collar","no","no","no",523
11274,"services","yes","yes","no",608
11275,"technician","no","no","no",2571
11276,"retired","no","no","no",914
11277,"retired","no","no","no",1152
11278,"blue-collar","yes","yes","no",519
11279,"entrepreneur","no","no","no",9405
11280,"blue-collar","no","no","no",1967
11281,"technician","yes","no","no",0
11282,"technician","yes","no","no",1355
11283,"technician","yes","yes","no",-1779
11284,"housemaid","no","no","no",1059
11285,"services","yes","yes","no",611
11286,"services","yes","no","no",1024
11287,"blue-collar","yes","no","no",671
11288,"blue-collar","no","no","no",3
11289,"entrepreneur","no","no","no",692
11290,"technician","no","no","no",4396
11291,"blue-collar","yes","no","no",280
11292,"services","yes","no","no",2769
11293,"admin.","no","no","no",1245
11294,"blue-collar","yes","no","no",4722
11295,"blue-collar","yes","no","no",1050
11296,"admin.","no","no","no",3160
11297,"blue-collar","no","no","no",1238
11298,"technician","no","no","no",1533
11299,"blue-collar","no","no","no",54
11300,"management","no","no","no",694
11301,"blue-collar","no","no","no",623
11302,"retired","no","no","no",197
11303,"retired","no","no","no",357
11304,"management","no","no","no",358
11305,"services","yes","no","no",0
11306,"entrepreneur","no","no","no",0
11307,"self-employed","no","no","no",29125
11308,"management","no","no","no",5680
11309,"blue-collar","no","no","no",2357
11310,"unemployed","yes","no","no",193
11311,"retired","no","no","no",415
11312,"blue-collar","yes","no","no",12130
11313,"housemaid","no","no","no",2582
11314,"services","yes","no","no",359
11315,"technician","no","no","no",165
11316,"admin.","no","no","no",1994
11317,"housemaid","no","no","no",113
11318,"blue-collar","no","no","no",1236
11319,"management","no","no","no",0
11320,"blue-collar","no","no","no",1121
11321,"services","no","no","no",393
11322,"unknown","no","no","no",4244
11323,"blue-collar","no","no","no",1823
11324,"blue-collar","yes","no","no",827
11325,"housemaid","no","no","no",1371
11326,"blue-collar","no","yes","no",507
11327,"technician","yes","yes","no",1433
11328,"technician","yes","no","no",1455
11329,"retired","no","no","no",1427
11330,"blue-collar","no","no","no",1104
11331,"housemaid","no","no","no",1340
11332,"entrepreneur","yes","yes","no",-257
11333,"services","no","no","no",2058
11334,"unknown","no","no","no",2261
11335,"management","yes","no","no",607
11336,"management","yes","yes","no",-687
11337,"blue-collar","yes","no","no",946
11338,"housemaid","no","no","no",2387
11339,"services","no","no","no",3236
11340,"services","no","yes","no",20541
11341,"admin.","yes","no","no",1670
11342,"blue-collar","no","no","no",4148
11343,"blue-collar","yes","no","no",-303
11344,"services","no","yes","no",504
11345,"blue-collar","no","no","no",0
11346,"admin.","no","no","no",0
11347,"housemaid","no","no","no",7451
11348,"admin.","yes","no","no",542
11349,"blue-collar","no","no","no",0
11350,"blue-collar","no","yes","no",2092
11351,"blue-collar","no","yes","no",219
11352,"admin.","no","no","no",0
11353,"blue-collar","yes","no","no",1826
11354,"entrepreneur","no","no","no",987
11355,"unknown","no","no","no",110
11356,"blue-collar","no","no","no",537
11357,"blue-collar","no","no","no",649
11358,"blue-collar","no","no","no",5
11359,"admin.","no","no","no",2524
11360,"technician","no","no","no",370
11361,"blue-collar","no","no","no",10662
11362,"services","no","yes","no",748
11363,"admin.","no","no","no",1195
11364,"services","no","no","no",7509
11365,"technician","no","no","no",1278
11366,"management","no","no","no",6313
11367,"management","no","no","no",4112
11368,"housemaid","no","no","no",1188
11369,"blue-collar","no","no","no",4143
11370,"blue-collar","yes","no","no",117
11371,"unemployed","no","no","no",0
11372,"admin.","no","no","no",-112
11373,"self-employed","no","no","no",306
11374,"services","no","no","no",410
11375,"unemployed","no","no","no",0
11376,"technician","no","no","no",107
11377,"blue-collar","no","no","no",2010
11378,"retired","no","no","no",630
11379,"management","yes","no","no",312
11380,"entrepreneur","yes","no","no",0
11381,"retired","no","yes","no",1906
11382,"technician","no","no","no",499
11383,"retired","no","no","no",1723
11384,"entrepreneur","no","no","no",33
11385,"admin.","yes","no","no",2
11386,"technician","no","no","no",3626
11387,"entrepreneur","yes","no","no",269
11388,"retired","no","no","no",1925
11389,"management","yes","yes","yes",-1007
11390,"blue-collar","yes","no","no",-232
11391,"blue-collar","yes","no","no",0
11392,"blue-collar","no","no","no",5874
11393,"retired","yes","no","no",1463
11394,"technician","yes","no","no",415
11395,"self-employed","yes","no","no",426
11396,"services","no","no","no",16
11397,"technician","no","no","no",891
11398,"management","yes","no","no",1
11399,"blue-collar","no","no","no",3316
11400,"unemployed","no","no","no",4512
11401,"retired","no","no","no",5087
11402,"admin.","no","no","no",884
11403,"technician","no","no","no",148
11404,"entrepreneur","no","no","no",3
11405,"entrepreneur","no","yes","no",678
11406,"self-employed","no","no","no",0
11407,"entrepreneur","no","yes","no",38
11408,"services","no","no","no",477
11409,"blue-collar","no","yes","no",692
11410,"self-employed","no","no","no",0
11411,"management","no","no","no",11972
11412,"technician","no","no","no",1663
11413,"blue-collar","yes","no","no",848
11414,"management","yes","no","no",3415
11415,"management","no","no","no",4045
11416,"self-employed","yes","no","no",4324
11417,"unemployed","no","no","no",2636
11418,"services","no","no","no",0
11419,"admin.","no","no","no",825
11420,"blue-collar","yes","no","no",273
11421,"retired","yes","yes","no",712
11422,"blue-collar","no","yes","no",37
11423,"retired","yes","no","no",143
11424,"management","no","no","no",7177
11425,"blue-collar","no","yes","no",1308
11426,"services","no","no","no",557
11427,"services","no","no","no",1381
11428,"technician","no","yes","no",2528
11429,"technician","yes","no","no",586
11430,"services","no","no","no",1358
11431,"admin.","no","no","no",1113
11432,"blue-collar","no","no","no",1179
11433,"management","no","no","no",47
11434,"admin.","no","no","no",1365
11435,"blue-collar","yes","no","no",607
11436,"admin.","yes","no","no",283
11437,"retired","yes","no","no",1621
11438,"blue-collar","no","no","no",1844
11439,"management","no","no","no",3053
11440,"unemployed","yes","no","no",5613
11441,"entrepreneur","no","no","no",302
11442,"admin.","yes","no","no",124
11443,"unemployed","no","no","no",425
11444,"blue-collar","no","no","no",343
11445,"blue-collar","yes","no","no",1401
11446,"blue-collar","yes","no","no",0
11447,"unemployed","yes","no","no",641
11448,"blue-collar","no","no","no",3622
11449,"blue-collar","yes","no","no",351
11450,"admin.","yes","no","no",5768
11451,"blue-collar","yes","no","no",1795
11452,"unemployed","no","no","no",1437
11453,"self-employed","no","no","no",1833
11454,"management","yes","no","no",3737
11455,"admin.","yes","no","no",6005
11456,"blue-collar","yes","no","no",253
11457,"unemployed","yes","no","no",271
11458,"services","no","yes","no",334
11459,"blue-collar","no","no","no",211
11460,"admin.","no","no","no",4204
11461,"retired","no","yes","yes",101
11462,"admin.","no","no","no",256
11463,"blue-collar","no","no","no",2961
11464,"management","no","no","no",2604
11465,"management","yes","no","no",2808
11466,"admin.","no","no","no",1
11467,"self-employed","yes","no","no",1204
11468,"retired","no","no","no",0
11469,"blue-collar","yes","yes","no",771
11470,"retired","no","yes","no",1580
11471,"blue-collar","yes","no","no",1409
11472,"retired","no","no","no",62
11473,"blue-collar","no","no","no",2800
11474,"admin.","no","no","no",989
11475,"blue-collar","no","no","no",1712
11476,"unemployed","no","no","no",216
11477,"technician","no","no","no",47
11478,"blue-collar","no","no","no",2322
11479,"blue-collar","no","yes","no",1
11480,"services","no","yes","no",2774
11481,"blue-collar","no","no","no",2132
11482,"unemployed","no","no","no",10183
11483,"housemaid","no","no","no",823
11484,"admin.","no","no","no",0
11485,"retired","no","no","no",6449
11486,"blue-collar","no","yes","no",98
11487,"entrepreneur","no","no","no",563
11488,"technician","yes","no","no",1127
11489,"unemployed","no","no","no",0
11490,"entrepreneur","no","no","no",4711
11491,"blue-collar","no","yes","no",1120
11492,"entrepreneur","no","no","no",0
11493,"blue-collar","yes","no","no",1389
11494,"unemployed","no","no","no",338
11495,"housemaid","yes","yes","no",4
11496,"services","no","no","no",5087
11497,"technician","yes","yes","no",-378
11498,"management","no","no","no",9711
11499,"services","yes","yes","no",3972
11500,"blue-collar","no","no","no",2441
11501,"self-employed","no","no","no",411
11502,"technician","yes","no","no",691
11503,"blue-collar","no","no","no",1938
11504,"blue-collar","yes","yes","no",508
11505,"admin.","no","no","no",22
11506,"management","no","no","no",3134
11507,"technician","no","no","no",1319
11508,"technician","yes","yes","no",-782
11509,"technician","no","no","no",5735
11510,"housemaid","no","no","no",2152
11511,"entrepreneur","no","no","no",0
11512,"entrepreneur","no","yes","no",1857
11513,"management","no","no","no",13501
